-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 01/01/2022 
Location: Latitude  51.4965   Longitude 10.8103 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 357.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS10M,WD10M,PS,T2M
2021,1,1,1,1.92,224.5,96.14,-1.62
2021,1,1,2,1.76,229.32,96.16,-1.49
2021,1,1,3,1.61,235.69,96.17,-1.49
2021,1,1,4,1.53,245.53,96.18,-1.53
2021,1,1,5,1.55,255.68,96.2,-1.49
2021,1,1,6,1.49,263.66,96.22,-1.64
2021,1,1,7,1.52,268.53,96.26,-1.85
2021,1,1,8,1.75,270.26,96.3,-1.83
2021,1,1,9,2.06,272.39,96.35,-1.07
2021,1,1,10,2.12,272.54,96.4,-0.07
2021,1,1,11,2.12,280.85,96.44,1.12
2021,1,1,12,2.19,283.19,96.45,1.62
2021,1,1,13,2.19,281.95,96.46,1.67
2021,1,1,14,1.66,278.66,96.5,1.37
2021,1,1,15,1.55,273.18,96.54,0.05
2021,1,1,16,1.79,270.0,96.56,-1.02
2021,1,1,17,1.87,266.89,96.59,-1.24
2021,1,1,18,1.89,262.87,96.63,-1.38
2021,1,1,19,1.91,259.65,96.69,-1.52
2021,1,1,20,2.01,259.0,96.74,-1.86
2021,1,1,21,2.08,260.04,96.78,-2.11
2021,1,1,22,2.18,260.91,96.82,-2.32
2021,1,1,23,2.26,261.25,96.84,-2.44
2021,1,2,0,2.26,262.04,96.85,-2.63
2021,1,2,1,2.19,263.64,96.87,-2.99
2021,1,2,2,2.09,262.48,96.89,-3.24
2021,1,2,3,2.06,258.86,96.9,-3.21
2021,1,2,4,2.02,252.41,96.91,-2.73
2021,1,2,5,2.07,247.31,96.92,-2.49
2021,1,2,6,1.82,243.54,96.96,-2.49
2021,1,2,7,1.54,243.82,96.99,-2.6
2021,1,2,8,1.45,245.91,97.01,-2.64
2021,1,2,9,1.66,247.65,97.05,-1.54
2021,1,2,10,1.33,250.82,97.07,-0.21
2021,1,2,11,0.74,273.61,97.07,1.4
2021,1,2,12,0.52,358.26,97.04,2.12
2021,1,2,13,0.93,41.95,97.04,2.14
2021,1,2,14,1.1,61.06,97.06,1.72
2021,1,2,15,1.61,74.21,97.09,0.34
2021,1,2,16,2.11,79.56,97.09,-1.04
2021,1,2,17,2.27,79.27,97.09,-1.18
2021,1,2,18,2.41,75.38,97.09,-1.35
2021,1,2,19,2.64,74.36,97.1,-1.14
2021,1,2,20,2.88,77.13,97.12,-1.06
2021,1,2,21,2.99,73.93,97.11,-1.22
2021,1,2,22,2.9,65.85,97.09,-1.85
2021,1,2,23,3.17,59.01,97.07,-2.2
2021,1,3,0,3.61,53.9,97.04,-2.35
2021,1,3,1,4.04,50.02,97.01,-2.36
2021,1,3,2,4.18,43.71,96.98,-2.45
2021,1,3,3,4.29,40.05,96.95,-2.5
2021,1,3,4,4.35,37.49,96.92,-2.43
2021,1,3,5,4.67,36.16,96.91,-2.24
2021,1,3,6,5.03,33.99,96.9,-2.02
2021,1,3,7,5.37,30.41,96.89,-1.9
2021,1,3,8,5.93,30.32,96.88,-1.84
2021,1,3,9,6.13,29.21,96.88,-1.83
