-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 01/01/2022 
Location: Latitude  20.7294   Longitude 73.0611 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
PS        MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,WS10M,WD10M,T2M,PS
2021,1,1,5,2.21,106.2,19.02,99.79
2021,1,1,6,2.63,111.83,18.51,99.86
2021,1,1,7,3.58,116.01,20.19,99.93
2021,1,1,8,3.6,118.62,22.61,99.99
2021,1,1,9,2.81,133.87,26.93,100.01
2021,1,1,10,2.41,164.74,30.9,99.94
2021,1,1,11,2.23,196.72,32.76,99.79
2021,1,1,12,2.56,224.38,33.67,99.66
2021,1,1,13,3.08,243.18,33.68,99.56
2021,1,1,14,3.51,254.23,32.82,99.51
2021,1,1,15,3.73,262.41,31.7,99.53
2021,1,1,16,3.79,274.85,29.85,99.58
2021,1,1,17,3.15,288.03,26.82,99.68
2021,1,1,18,3.22,298.06,24.93,99.77
2021,1,1,19,2.43,303.59,23.88,99.86
2021,1,1,20,1.3,307.21,23.15,99.9
2021,1,1,21,0.93,316.02,22.6,99.9
2021,1,1,22,0.55,332.7,22.29,99.89
2021,1,1,23,0.27,69.44,22.0,99.86
2021,1,2,0,0.77,110.28,21.51,99.82
2021,1,2,1,1.1,116.2,21.05,99.76
2021,1,2,2,1.18,120.64,20.89,99.72
2021,1,2,3,1.04,122.74,21.02,99.7
2021,1,2,4,0.84,123.99,21.17,99.73
2021,1,2,5,0.63,123.89,21.26,99.8
2021,1,2,6,0.53,118.81,21.23,99.89
2021,1,2,7,0.61,121.46,22.03,99.98
2021,1,2,8,0.44,174.9,24.53,100.06
2021,1,2,9,1.19,219.66,27.42,100.08
2021,1,2,10,2.12,226.94,29.58,100.02
2021,1,2,11,3.09,233.54,30.98,99.9
2021,1,2,12,3.84,243.28,31.36,99.79
2021,1,2,13,4.25,253.13,30.71,99.7
2021,1,2,14,4.31,260.73,29.7,99.67
2021,1,2,15,4.04,265.68,28.69,99.66
2021,1,2,16,3.6,271.12,27.38,99.69
2021,1,2,17,2.77,280.07,25.29,99.76
2021,1,2,18,2.29,288.06,23.73,99.83
2021,1,2,19,1.71,291.75,22.91,99.87
2021,1,2,20,1.3,291.8,22.42,99.89
2021,1,2,21,1.19,294.88,22.22,99.89
2021,1,2,22,1.14,298.33,22.07,99.87
2021,1,2,23,1.09,303.01,21.85,99.85
2021,1,3,0,1.01,311.56,21.6,99.82
